Protein A;Gene A;Taxon A;Family A;Protein B;Gene B;Taxon B;Family B;Score;PMID
Q9WMX2;Q9WMX2;333284;11050;O43175;PHGDH;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;O43852;CALU;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;O75127;PTCD1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;O94966;USP19;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;O95153;BZRAP1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;O95292;VAPB;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;O95373;IPO7;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P04908;HIST1H2AE;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;P05023;ATP1A1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P06241;FYN;9606;9606;0.376;15784897 14993658 
Q9WMX2;Q9WMX2;333284;11050;P07437;TUBB;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P07900;HSP90AA1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P08238;HSP90AB1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P08574;CYC1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P08631;HCK;9606;9606;0.21;15784897 
Q9WMX2;Q9WMX2;333284;11050;P08754;GNAI3;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P09651;HNRNPA1;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;P0C0S8;HIST1H2AM;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;P0DME0;SETSIP;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P10809;HSPD1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P11021;HSPA5;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P12004;PCNA;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P12277;CKB;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P20671;HIST1H2AD;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;P22102;GART;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P22626;HNRNPA2B1;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;P27824;CANX;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P28288;ABCD3;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P31689;DNAJA1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P31942;HNRNPH3;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;P31943;HNRNPH1;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;P38646;HSPA9;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P43487;RANBP1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P49411;TUFM;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P50991;CCT4;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P53618;COPB1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P53985;SLC16A1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P55795;HNRNPH2;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;P57088;TMEM33;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P60468;SEC61B;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P61289;PSME3;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P62269;RPS18;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;P62805;HIST4H4;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;P62993;GRB2;9606;9606;0.21;15784897 
Q9WMX2;Q9WMX2;333284;11050;P68371;TUBB4B;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;P78527;PRKDC;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q00610;CLTC;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q03154;ACY1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q07021;C1QBP;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q12905;ILF2;9606;9606;0.236;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q13885;TUBB2A;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q14318;FKBP8;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q14739;LBR;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q15629;TRAM1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q15758;SLC1A5;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q16637;SMN2;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q16777;HIST2H2AC;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;Q16880;UGT8;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q32P51;HNRNPA1L2;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;Q3V6T2;CCDC88A;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q4VCS5;AMOT;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q6FI13;HIST2H2AA4;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;Q6NXR4;TTI2;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q70UQ0;IKBIP;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q7L7L0;HIST3H2A;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;Q7L9L4;MOB1B;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q7Z6Z7;HUWE1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q86Y56;HEATR2;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q92499;DDX1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q92973;TNPO1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q93077;HIST1H2AC;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;Q969Z0;TBRG4;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q96KK5;HIST1H2AH;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;Q96PU8;QKI;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q99615;DNAJC7;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q99878;HIST1H2AJ;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;Q9BQG0;MYBBP1A;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q9BTM1;H2AFJ;9606;9606;0.126;22810585 
Q9WMX2;Q9WMX2;333284;11050;Q9BVC6;TMEM109;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q9GZU8;FAM192A;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q9H4A3;WNK1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q9H7B4;SMYD3;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q9HAV4;XPO5;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q9HB71;CACYBP;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q9NVI1;FANCI;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q9NX58;LYAR;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q9P035;PTPLAD1;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q9P219;CCDC88C;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q9UBB4;ATXN10;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q9UGP8;SEC63;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q9UHI6;DDX20;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q9UNF1;MAGED2;9606;9606;0.126;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q9UNL2;SSR3;9606;9606;0.126;24169621 
Q9Y277;VDAC3;9606;9606;Q9WMX2;Q9WMX2;333284;11050;0.126;24169621 
Q9Y3I0;RTCB;9606;9606;Q9WMX2;Q9WMX2;333284;11050;0.126;24169621 
Q9Y5V3;MAGED1;9606;9606;Q9WMX2;Q9WMX2;333284;11050;0.126;24169621 
Q9Y605;MRFAP1;9606;9606;Q9WMX2;Q9WMX2;333284;11050;0.126;24169621 
P29991;P29991;31635;11050;P04040;CAT;9606;9606;0.183;21911577 
Q99IB8;Q99IB8;356411;11050;O94880;PHF14;9606;9606;0.183;24136289 
Q13451;FKBP5;9606;9606;O39474;NS5A;11103;11050;0.21;16844119 
P29991;P29991;31635;11050;O94979;SEC31A;9606;9606;0.183;21911577 
Q9E7P0;Q9E7P0;11060;11050;O94983;CAMTA2;9606;9606;0.126;22014111 
Q03463;Q03463;421877;11050;O95466;FMNL1;9606;9606;0.309;16094715 
P29991;P29991;31635;11050;P05546;SERPIND1;9606;9606;0.183;21911577 
Q99IB8;Q99IB8;356411;11050;P05546;SERPIND1;9606;9606;0.183;24136289 
P29991;P29991;31635;11050;P05787;KRT8;9606;9606;0.183;21911577 
Q9WMX2;Q9WMX2;333284;11050;P06239;LCK;9606;9606;0.21;15784897 
P26660;P26660;11113;11050;P06241;FYN;9606;9606;0.21;14993658 
P27958;P27958;11108;11050;P06241;FYN;9606;9606;0.61;14993658 15784897 
Q16K62;Q16K62;7159;7159;P06935;P06935;11082;11050;0.126;20797779 
Q9E7P0;Q9E7P0;11060;11050;Q12906;ILF3;9606;9606;0.126;22014111 
Q99IB8;Q99IB8;356411;11050;Q6Q788;APOA5;9606;9606;0.183;24136289 
P29991;P29991;31635;11050;P07942;LAMB1;9606;9606;0.183;21911577 
P26660;P26660;11113;11050;P07948;LYN;9606;9606;0.21;14993658 
Q913V3;Q913V3;421879;11050;P07948;LYN;9606;9606;0.21;14993658 
Q9WMX2;Q9WMX2;333284;11050;P07948;LYN;9606;9606;0.396;14993658 15784897 
Q99IB8;Q99IB8;356411;11050;Q7Z406;MYH14;9606;9606;0.183;24136289 
Q9E7P0;Q9E7P0;11060;11050;Q7Z5R6;APBB1IP;9606;9606;0.126;22014111 
P26660;P26660;11113;11050;P08631;HCK;9606;9606;0.21;14993658 
P29991;P29991;31635;11050;P01042;KNG1;9606;9606;0.183;21911577 
Q99IB8;Q99IB8;356411;11050;Q86SQ7;SDCCAG8;9606;9606;0.183;24136289 
Q99IB8;Q99IB8;356411;11050;Q86SX6;GLRX5;9606;9606;0.183;24136289 
Q86VP1;TAX1BP1;9606;9606;P29991;P29991;31635;11050;0.183;21911577 
Q99IB8;Q99IB8;356411;11050;Q86YP4;GATAD2A;9606;9606;0.183;24136289 
Q88489;Q88489;11084;11050;O00327;ARNTL;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;O14530;TXNDC9;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;O75674;TOM1L1;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;P06733;ENO1;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;P08670;VIM;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;P19474;TRIM21;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;P28799;GRN;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;P29597;TYK2;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;P35579;MYH9;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;P42331;ARHGAP25;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;P52597;HNRNPF;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;P55268;LAMB2;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;P78504;JAG1;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;Q12824;SMARCB1;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;Q13105;ZBTB17;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;Q14160;SCRIB;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;Q49A88;CCDC14;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;Q5QJE6;DNTTIP2;9606;9606;0.126;22014111 
Q88489;Q88489;11084;11050;Q5VU43;PDE4DIP;9606;9606;0.126;22014111 
Q8IXK0;PHC2;9606;9606;Q88489;Q88489;11084;11050;0.126;22014111 
Q8NB25;FAM184A;9606;9606;Q88489;Q88489;11084;11050;0.126;22014111 
Q92804;TAF15;9606;9606;Q88489;Q88489;11084;11050;0.126;22014111 
Q92993;KAT5;9606;9606;Q88489;Q88489;11084;11050;0.126;22014111 
Q96EA4;SPDL1;9606;9606;Q88489;Q88489;11084;11050;0.126;22014111 
Q96EQ8;RNF125;9606;9606;Q88489;Q88489;11084;11050;0.126;22014111 
Q96G01;BICD1;9606;9606;Q88489;Q88489;11084;11050;0.126;22014111 
Q9BV36;MLPH;9606;9606;Q88489;Q88489;11084;11050;0.126;22014111 
Q9H270;VPS11;9606;9606;Q88489;Q88489;11084;11050;0.126;22014111 
Q9H814;PHAX;9606;9606;Q88489;Q88489;11084;11050;0.126;22014111 
Q9HD26;GOPC;9606;9606;Q88489;Q88489;11084;11050;0.126;22014111 
Q9NP64;ZCCHC17;9606;9606;Q88489;Q88489;11084;11050;0.126;22014111 
Q9Y6C2;EMILIN1;9606;9606;Q88489;Q88489;11084;11050;0.126;22014111 
Q9BYC9;MRPL20;9606;9606;Q8JU44;Q8JU44;11082;11050;0.126;22014111 
Q8N302;AGGF1;9606;9606;P29991;P29991;31635;11050;0.183;21911577 
Q9WMX2;Q9WMX2;333284;11050;P55209;NAP1L1;9606;9606;0.236;24169621 22810585 
Q9WMX2;Q9WMX2;333284;11050;P14618;PKM;9606;9606;0.623;18519040 
Q9WMX2;Q9WMX2;333284;11050;O43504;LAMTOR5;9606;9606;0.236;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q53GQ0;HSD17B12;9606;9606;0.236;24169621 
Q9WMX2;Q9WMX2;333284;11050;Q99733;NAP1L4;9606;9606;0.236;24169621 22810585 
Q99IB8;Q99IB8;356411;11050;O00571;DDX3X;9606;9606;0.659;22616990 24136289 
Q99IB8;Q99IB8;356411;11050;O75592;MYCBP2;9606;9606;0.49;24136289 
Q99IB8;Q99IB8;356411;11050;P67936;TPM4;9606;9606;0.286;24136289 
Q99IB8;Q99IB8;356411;11050;P26927;MST1;9606;9606;0.286;24136289 
Q99IB8;Q99IB8;356411;11050;Q14683;SMC1A;9606;9606;0.49;24136289 
Q9E7P0;Q9E7P0;11060;11050;Q9BUZ4;TRAF4;9606;9606;0.236;22014111 
Q9H6S1;AZI2;9606;9606;Q9E7P0;Q9E7P0;11060;11050;0.236;22014111 
P27958;P27958;11108;11050;P07948;LYN;9606;9606;0.523;14993658 15784897 
Q17NZ6;CTLMA15;7159;7159;P06935;P06935;11082;11050;0.636;20797779 
Q9E7P0;Q9E7P0;11060;11050;P25963;NFKBIA;9606;9606;0.236;22014111 
P42224;STAT1;9606;9606;P26664;P26664;11104;11050;0.376;16940534 
P37231;PPARG;9606;9606;P26662;P26662;11116;11050;0.376;19631645 
Q62245;SOS1;10090;10090;P26663;P26663;11105;11050;0.523;15767257 
P29991;P29991;31635;11050;P27797;CALR;9606;9606;0.286;21911577 
P52630;STAT2;9606;9606;P29991;P29991;31635;11050;0.286;21911577 22810585 
Q8IUD2;ERC1;9606;9606;P29991;P29991;31635;11050;0.286;21911577 
Q92564;DCUN1D4;9606;9606;P29991;P29991;31635;11050;0.286;21911577 
P06935;P06935;11082;11050;P05106;ITGB3;9606;9606;0.659;16275649 
P06240;LCK;10090;10090;O92972;O92972;420174;11050;0.376;15784897 14993658 
P06241;FYN;9606;9606;O92972;O92972;420174;11050;0.376;15784897 14993658 
P07948;LYN;9606;9606;O92972;O92972;420174;11050;0.376;15784897 14993658 
Q9WMX2;Q9WMX2;333284;11050;O15162;PLSCR1;9606;9606;0.731;21806988 
P27958;P27958;11108;11050;P08631;HCK;9606;9606;0.623;14993658 15784897 
P55265;ADAR;9606;9606;P14340;P14340;11065;11050;0.236;23853584 
P08631;HCK;9606;9606;O92972;O92972;420174;11050;0.376;15784897 14993658 
P62993;GRB2;9606;9606;O92972;O92972;420174;11050;0.376;15784897 14993658 
P27958;P27958;11108;11050;P06240;LCK;10090;10090;0.507;14993658 15784897 
Q9UHY1;NRBP1;9606;9606;P14340;P14340;11065;11050;0.523;15084397 
P29846;P29846;31645;11050;O43889;CREB3;9606;9606;0.623;10675342 
P29846;P29846;31645;11050;P08107;HSPA1B;9606;9606;0.757;20601427 
Q99IB8;Q99IB8;356411;11050;P02751;FN1;9606;9606;0.376;24136289 
Q9H8Y8;GORASP2;9606;9606;Q99IB8;Q99IB8;356411;11050;0.376;24136289 
P04049;RAF1;9606;9606;O39474;NS5A;11103;11050;0.454;16405965 
P29846;P29846;31645;11050;P29846;P29846;31645;11050;0.659;19958771 20601427 
P14340;P14340;11065;11050;P08670;VIM;9606;9606;0.837;24284321 
Q99IB8;Q99IB8;356411;11050;Q99IB8;Q99IB8;356411;11050;0.801;19590017 
P29990;P29990;31634;11050;P00974;P00974;9913;9913;0.61;24931377 24859037 
Q14318;FKBP8;9606;9606;O39474;NS5A;11103;11050;0.902;16844119 17024179 

